Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Florida Panthers,27.8,82,58,18,6,122,0.744,337,242,3,4,1.07,-0.08,4.11,2.95,64,262,24.43,53,259,79.54,12,8,10.1,10.8,3062,11,2515,0.904,5,47:55,56.5,"2,050",24.67,995,11.98,904,10.88,798,9.6,19,989
2,Colorado Avalanche,28.2,82,56,19,7,119,0.726,308,232,4,2,0.91,-0.04,3.76,2.83,67,279,24.01,48,236,79.66,6,5,9,10.4,2874,10.7,2625,0.912,7,47:36,52.8,"1,764",21.3,"1,084",13.09,526,6.35,594,7.17,20,946
3,Carolina Hurricanes,28.3,82,54,20,8,116,0.707,277,200,1,2,0.88,-0.05,3.38,2.44,51,232,21.98,33,276,88.04,4,3,9.2,7.7,2798,9.9,2310,0.913,6,47:37,56.2,"1,804",21.78,858,10.36,807,9.74,673,8.13,19,"1,176"
4,Toronto Maple Leafs,28.4,82,54,21,7,115,0.701,312,252,3,1,0.69,-0.06,3.8,3.07,63,231,27.27,42,234,82.05,13,4,8.6,8.5,2835,11,2511,0.9,7,49:06,53.6,"1,746",21.08,972,11.74,832,10.04,673,8.13,16,"1,069"
5,Minnesota Wild,29.4,82,53,22,7,113,0.689,305,249,5,4,0.68,-0.02,3.72,3.04,53,258,20.54,63,264,76.14,2,5,10.8,10.8,2666,11.4,2577,0.903,3,47:06,51,"1,846",22.17,"1,115",13.39,538,6.46,488,5.86,14,920
6,Calgary Flames,28.8,82,50,21,11,111,0.677,291,206,2,2,0.99,-0.05,3.55,2.51,54,236,22.88,42,250,83.2,7,3,9.1,8.6,2908,10,2374,0.913,11,48:36,55.6,"1,836",22.18,955,11.53,825,9.96,585,7.07,22,"1,113"
7,Tampa Bay Lightning,29.6,82,51,23,8,110,0.671,285,228,2,5,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,11,11.4,2535,11.2,2441,0.907,3,47:49,50.9,"2,124",25.55,"1,044",12.56,451,5.42,549,6.6,11,"1,027"
8,New York Rangers,26.7,82,52,24,6,110,0.671,250,204,4,3,0.54,-0.03,3.05,2.49,55,218,25.23,40,226,82.3,8,2,8.2,8.2,2392,10.5,2528,0.919,9,49:19,47,"2,094",25.28,"1,167",14.08,703,8.49,622,7.51,16,894
9,St. Louis Blues,28.8,82,49,22,11,109,0.665,309,239,2,3,0.79,-0.05,3.77,2.91,65,241,26.97,35,220,84.09,9,5,7.5,7.9,2492,12.4,2591,0.908,4,48:42,47.1,"1,656",20.01,"1,004",12.13,632,7.64,612,7.39,21,831
10,Boston Bruins,28.5,82,51,26,5,107,0.652,253,218,2,2,0.38,-0.05,3.09,2.66,50,236,21.19,49,262,81.3,5,6,9.9,9.4,2962,8.5,2354,0.907,4,48:00,54.4,"2,205",26.67,"1,018",12.31,648,7.84,528,6.39,11,933
