Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Vancouver Canucks*,28.5,82,51,22,9,111,.677,241,191,8,7,0.57,-0.05,2.94,2.33,57,288,19.79,40,286,86.01,7,4,12.8,12.4,2583,9.3,2526,.924,9
2,St. Louis Blues*,26.5,82,49,22,11,109,.665,206,155,4,10,0.54,-0.01,2.51,1.89,45,269,16.73,40,282,85.82,7,3,13.0,12.1,2511,8.2,2190,.929,15
3,New York Rangers*,26.5,82,51,24,7,109,.665,222,182,4,5,0.46,-0.02,2.71,2.22,44,280,15.71,36,260,86.15,8,4,12.9,14.5,2338,9.5,2281,.920,10
4,Pittsburgh Penguins*,28.5,82,51,25,6,108,.659,273,218,9,3,0.71,-0.03,3.33,2.66,57,289,19.72,33,270,87.78,11,10,10.7,12.3,2779,9.8,2247,.903,3
5,Nashville Predators*,26.8,82,48,26,8,104,.634,232,205,5,5,0.34,0.01,2.83,2.50,54,250,21.60,40,244,83.61,5,4,8.4,8.3,2261,10.3,2522,.919,5
6,Philadelphia Flyers*,27.3,82,47,26,9,103,.628,260,225,4,7,0.39,0.00,3.17,2.74,66,335,19.70,58,319,81.82,6,9,16.1,16.4,2641,9.8,2329,.903,6
7,Boston Bruins*,28.8,82,49,29,4,102,.622,260,199,9,3,0.75,-0.07,3.17,2.43,43,250,17.20,43,260,83.46,8,1,13.5,11.9,2653,9.8,2441,.918,8
8,New Jersey Devils*,30.1,82,48,28,6,102,.622,216,205,12,4,0.23,0.00,2.63,2.50,46,267,17.23,27,259,89.58,15,13,11.5,10.7,2253,9.6,2199,.907,7
9,Detroit Red Wings*,30.0,82,48,28,6,102,.622,239,200,9,3,0.55,0.00,2.91,2.44,48,298,16.11,50,274,81.75,2,11,8.5,10.4,2638,9.1,2212,.910,7
10,Chicago Blackhawks*,27.0,82,45,26,11,101,.616,241,231,7,7,0.14,0.02,2.94,2.82,42,277,15.16,51,233,78.11,7,3,10.3,11.3,2583,9.3,2343,.901,0
11,Phoenix Coyotes*,28.9,82,42,27,13,97,.591,210,194,6,10,0.16,0.01,2.56,2.37,34,251,13.55,36,249,85.54,6,6,9.2,9.6,2428,8.6,2592,.925,8
12,San Jose Sharks*,28.1,82,43,29,10,96,.585,219,205,9,5,0.22,0.00,2.67,2.50,57,270,21.11,52,225,76.89,3,4,9.6,11.2,2773,7.9,2342,.912,6
13,Los Angeles Kings*,26.7,82,40,27,15,95,.579,188,170,6,9,0.19,0.01,2.29,2.07,49,289,16.96,38,293,87.03,9,2,11.3,11.1,2509,7.5,2248,.924,11
14,Florida Panthers*,29.0,82,38,26,18,94,.573,197,216,6,11,-0.33,-0.03,2.40,2.63,53,286,18.53,49,239,79.50,4,6,9.7,10.9,2433,8.1,2505,.914,4
15,Ottawa Senators*,27.8,82,41,31,10,92,.561,243,236,6,4,0.09,-0.02,2.96,2.88,49,270,18.15,57,310,81.61,9,7,14.0,12.2,2574,9.4,2627,.910,4
16,Washington Capitals*,27.6,82,42,32,8,92,.561,218,226,4,4,-0.13,-0.03,2.66,2.76,41,245,16.73,49,266,81.58,3,10,9.4,8.3,2295,9.5,2475,.909,8
17,Calgary Flames,29.6,82,37,29,16,90,.549,199,217,3,9,-0.28,0.01,2.43,2.65,46,260,17.69,42,268,84.33,3,6,10.8,10.5,2258,8.8,2528,.914,4
18,Dallas Stars,28.4,82,42,35,5,89,.543,204,218,7,4,-0.10,0.03,2.49,2.66,33,244,13.52,52,303,82.84,5,3,12.6,10.9,2314,8.8,2527,.914,5
19,Buffalo Sabres,27.0,82,39,32,11,89,.543,211,223,7,7,-0.15,0.00,2.57,2.72,44,258,17.05,47,257,81.71,5,7,11.0,12.0,2397,8.8,2571,.913,7
20,Colorado Avalanche,25.9,82,41,35,6,88,.537,199,218,9,2,-0.13,0.01,2.43,2.66,41,223,18.39,47,277,83.03,5,4,11.0,9.5,2583,7.7,2426,.910,6
21,Tampa Bay Lightning,29.5,82,38,36,8,84,.512,232,278,3,3,-0.57,-0.01,2.83,3.39,41,269,15.24,59,284,79.23,2,12,10.5,10.2,2227,10.4,2501,.889,2
22,Winnipeg Jets,26.2,82,37,35,10,84,.512,221,242,4,4,-0.30,-0.04,2.70,2.95,45,251,17.93,58,292,80.14,3,8,11.0,9.7,2471,8.9,2470,.902,6
23,Carolina Hurricanes,26.5,82,33,33,16,82,.500,212,237,1,6,-0.39,-0.02,2.59,2.89,49,294,16.67,49,252,80.56,12,4,9.3,10.9,2498,8.5,2653,.911,6
24,Minnesota Wild,27.4,82,35,36,11,81,.494,166,217,11,9,-0.58,0.02,2.02,2.65,39,258,15.12,51,285,82.11,5,4,12.1,12.3,2174,7.6,2570,.916,6
25,Toronto Maple Leafs,25.9,82,35,37,10,80,.488,227,259,4,5,-0.38,0.02,2.77,3.16,49,267,18.35,55,242,77.27,5,6,10.0,10.4,2322,9.8,2528,.898,7
26,Anaheim Ducks,28.5,82,34,36,12,80,.488,201,224,3,7,-0.29,0.04,2.45,2.73,45,271,16.61,51,283,81.98,4,5,12.0,11.2,2291,8.8,2367,.905,4
27,New York Islanders,27.8,82,34,37,11,79,.482,196,251,7,4,-0.58,0.05,2.39,3.06,45,243,18.52,46,236,80.51,4,5,9.3,9.0,2410,8.1,2469,.898,3
28,Montreal Canadiens,26.8,82,31,35,16,78,.476,207,214,5,12,-0.17,0.00,2.52,2.61,43,301,14.29,36,315,88.57,10,8,11.6,11.9,2340,8.8,2432,.912,4
29,Edmonton Oilers,27.4,82,32,40,10,74,.451,207,232,5,7,-0.32,0.01,2.52,2.83,54,262,20.61,52,296,82.43,5,8,11.5,10.0,2186,9.5,2518,.908,4
30,Columbus Blue Jackets,26.7,82,29,46,7,65,.396,198,257,4,5,-0.65,0.08,2.41,3.13,49,317,15.46,64,274,76.64,7,8,12.6,14.1,2454,8.1,2537,.899,
